# Various different names and numbers for all the materials
# and commodities for which we know anything
# 
# The parser reads the headings to determine the width of the
# column, so you can change the column widths in this file by
# simply moving the column headings.  The ; character marks a
# column position and the name follows.
#
# Version only needs to be bumped if a Localized Name for a
# Material or relevant Commodity changes.
# 
; Localized Name (US)                    ; Type                 ; Journal Name                 ; Data Version
Anomalous FSD Telemetry                  Data                   fsdtelemetry                   0
Atypical Disrupted Wake Echoes           Data                   disruptedwakeechoes            0
Atypical Encryption Archives             Data                   atypicalencryptionarchives     0
Classified Scan Databanks                Data                   scandatabanks                  0
Classified Scan Fragment                 Data                   classifiedscandata             0
Cracked Industrial Firmware              Data                   industrialfirmware             0
Datamined Wake Exceptions                Data                   dataminedwake                  0
Decoded Emission Data                    Data                   decodedemissiondata            0
Distorted Shield Cycle Recordings        Data                   shieldcyclerecordings          0
Divergent Scan Data                      Data                   encodedscandata                0
Eccentric Hyperspace Trajectories        Data                   hyperspacetrajectories         0
Exceptional Scrambled Emission Data      Data                   scrambledemissiondata          0
Inconsistent Shield Soak Analysis        Data                   shieldsoakanalysis             0
Irregular Emission Data                  Data                   archivedemissiondata           0
Modified Consumer Firmware               Data                   consumerfirmware               0
Modified Embedded Firmware               Data                   embeddedfirmware               0
Open Symmetric Keys                      Data                   symmetrickeys                  0
Pattern Alpha Obelisk Data               Data                   ancientbiologicaldata          1
Pattern Beta Obelisk Data                Data                   ancientculturaldata            1
Pattern Delta Obelisk Data               Data                   ancientlanguagedata            1
Pattern Epsilon Obelisk Data             Data                   ancienttechnologicaldata       1
Pattern Gamma Obelisk Data               Data                   ancienthistoricaldata          1
Peculiar Shield Frequency Data           Data                   shieldfrequencydata            0
Security Firmware Patch                  Data                   securityfirmware               0
Specialised Legacy Firmware              Data                   legacyfirmware                 0
Strange Wake Solutions                   Data                   wakesolutions                  0
Tagged Encryption Codes                  Data                   encryptioncodes                0
Unexpected Emission Data                 Data                   emissiondata                   0
Unidentified Scan Archives               Data                   scanarchives                   0
Unknown Ship Signature                   Data                   unknownshipsignature           1
Unknown Wake Data                        Data                   unknownwakedata                2
Untypical Shield Scans                   Data                   shielddensityreports           0
Unusual Encrypted Files                  Data                   encryptedfiles                 0
Articulation Motors                      Commodities            articulationmotors             0
Bromellite                               Commodities            bromellite                     0
CMM Composite                            Commodities            cmmcomposite                   0
Emergency Power Cells                    Commodities            emergencypowercells            0
Energy Grid Assembly                     Commodities            powergridassembly              0
Exhaust Manifold                         Commodities            exhaustmanifold                0
Hardware Diagnostic Sensor               Commodities            hardwarediagnosticsensor       0
Heatsink Interlink                       Commodities            heatsinkinterlink              0
HN Shock Mount                           Commodities            hnshockmount                   0
Insulating Membrane                      Commodities            insulatingmembrane             0
Ion Distributor                          Commodities            iondistributor                 0
Magnetic Emitter Coil                    Commodities            magneticemittercoil            0
Micro Controllers                        Commodities            microcontrollers               0
Micro-Weave Cooling Hoses                Commodities            coolinghoses                   0
Modular Terminals                        Commodities            modularterminals               0
Nanobreakers                             Commodities            nanobreakers                   0
Neofabric Insulation                     Commodities            neofabricinsulation            0
Osmium                                   Commodities            osmium                         0
Platinum                                 Commodities            platinum                       0
Power Converter                          Commodities            powerconverter                 0
Power Transfer Bus                       Commodities            powertransferbus               0
Praseodymium                             Commodities            praseodymium                   0
Radiation Baffle                         Commodities            radiationbaffle                0
Reinforced Mounting Plate                Commodities            reinforcedmountingplate        0
Samarium                                 Commodities            samarium                       0
Telemetry Suite                          Commodities            telemetrysuite                 0
domestic appliances                      Irrelevant Commodity                                  0
reactive armour                          Irrelevant Commodity                                  0
tobacco                                  Irrelevant Commodity                                  0
consumer technology                      Irrelevant Commodity                                  0
meta-alloys                              Irrelevant Commodity                                  0
fish                                     Irrelevant Commodity                                  0
clothing                                 Irrelevant Commodity                                  0
animal meat                              Irrelevant Commodity                                  0
progenitor cells                         Irrelevant Commodity                                  0
metaalloys                               Irrelevant Commodity                                  0
food cartridges                          Irrelevant Commodity                                  0
basic medicines                          Irrelevant Commodity                                  0
narcotics                                Irrelevant Commodity                                  0
survival wquipment                       Irrelevant Commodity                                  0
tea                                      Irrelevant Commodity                                  0
cryolite                                 Irrelevant Commodity                                  0
black box                                Irrelevant Commodity                                  0
advanced medicines                       Irrelevant Commodity                                  0
non-lethal weapons                       Irrelevant Commodity                                  0
performance enhancers                    Irrelevant Commodity                                  0
grain                                    Irrelevant Commodity                                  0
beer                                     Irrelevant Commodity                                  0
hydrogen fuel                            Irrelevant Commodity                                  0
fruit and vegetables                     Irrelevant Commodity                                  0
coffee                                   Irrelevant Commodity                                  0
agri-medicines                           Irrelevant Commodity                                  0
occupiedcryopod                          Irrelevant Commodity                                  0
silver                                   Irrelevant Commodity                                  0
palladium                                Irrelevant Commodity                                  0
polymers                                 Irrelevant Commodity                                  0
semiconductors                           Irrelevant Commodity                                  0
skimercomponents                         Irrelevant Commodity                                  0
gold                                     Irrelevant Commodity                                  0
gallium                                  Irrelevant Commodity                                  0
beryllium                                Irrelevant Commodity                                  0
computercomponents                       Irrelevant Commodity                                  0
Cobalt                                   Irrelevant Commodity                                  0
bertrandite                              Irrelevant Commodity                                  0
gallite                                  Irrelevant Commodity                                  0
mineral Extractors                       Irrelevant Commodity                                  0
nerveagents                              Irrelevant Commodity                                  0
syntheticreagents                        Irrelevant Commodity                                  0
bootlegliquor                            Irrelevant Commodity                                  0
powergenerators                          Irrelevant Commodity                                  0
biowaste                                 Irrelevant Commodity                                  0
ancientcasket                            Irrelevant Commodity                                  0
ancientorb                               Irrelevant Commodity                                  0
ancientrelic                             Irrelevant Commodity                                  0
ancienttablet                            Irrelevant Commodity                                  0
ancienttotem                             Irrelevant Commodity                                  0
ancienturn                               Irrelevant Commodity                                  0
wine                                     Irrelevant Commodity                                  0
